Title;Step;Expected result;Area Path;Iteration Path;QA Priority;Assigned To;Preconditions
Planer Serwisu - unconfirmed parts icon: multiple tasks on calendar;;;QA\SVCloud;QA\SVCloud\Planer Serwisu;Medium;justyna.biernacka@softvig.pl;"User is logged in
Calendar page (BOK or Warsztat) is loaded
Multiple repairs are visible on calendar with mixed states of 'Części' field and confirmation status"
;Verify that icon is displayed only on tasks where 'Części' = Wymagane AND confirmation has NOT been performed.;Icon is displayed correctly only on matching tasks.;;;;;
;Verify that icon is NOT displayed on tasks where 'Części' <> Wymagane or confirmation has been performed.;Icon is not displayed on non-matching tasks.;;;;;
;End of test.;;;;;;
Planer Serwisu - unconfirmed parts icon: visible in both BOK and Warsztat calendars;;;QA\SVCloud;QA\SVCloud\Planer Serwisu;Medium;justyna.biernacka@softvig.pl;"User is logged in
Repair exists with field 'Części' = Wymagane
Parts confirmation has NOT been performed"
;Go to BOK calendar view with the task assigned to the repair.;Calendar page is displayed.;;;;;
;Verify if 'Części niepotwierdzone' icon is displayed on the task.;Icon is displayed.;;;;;
;Go to Warsztat calendar view with the same task/repair.;Calendar page is displayed.;;;;;
;Verify if 'Części niepotwierdzone' icon is displayed on the task.;Icon is displayed.;;;;;
;End of test.;;;;;;
Planer Serwisu - unconfirmed parts icon: displayed in tooltip with correct name and translation;;;QA\SVCloud;QA\SVCloud\Planer Serwisu;Medium;justyna.biernacka@softvig.pl;"User is logged in
Calendar page (BOK or Warsztat) is loaded
Repair exists with field 'Części' = Wymagane
Parts confirmation has NOT been performed"
;Hover over the task to display the tooltip.;Tooltip is displayed.;;;;;
;"Verify event icons section at the bottom of the tooltip:
- icon: box-open
- name: 'Części niepotwierdzone'";It displays correctly.;;;;;
;Switch application language and verify if event name is translated accordingly.;Event name is translated correctly.;;;;;
;End of test.;;;;;;
Planer Serwisu - unconfirmed parts icon: priority order alongside other event icons;;;QA\SVCloud;QA\SVCloud\Planer Serwisu;Medium;justyna.biernacka@softvig.pl;"User is logged in
Calendar page (BOK or Warsztat) is loaded
Repair exists with 'Części niepotwierdzone' event AND at least one other event assigned to the same task"
;Verify position of 'Części niepotwierdzone' icon relative to other icons on the task (left to right).;Icon position matches priority/order configured in system settings for this event type.;;;;;
;End of test.;;;;;;
